[09/01/24 13:40:39] [INFO] received Windows console close event; shutting log-core down
[09/01/24 14:39:40] [INFO] received Windows console close event; shutting log-core down
[09/02/24 01:18:16] [INFO] received Windows console close event; shutting log-core down
[09/02/24 01:37:33] [INFO] received Windows console close event; shutting log-core down
[09/02/24 01:59:24] [INFO] received Windows console close event; shutting log-core down
[09/02/24 11:19:39] [INFO] received Windows console close event; shutting log-core down
[09/02/24 11:25:11] [INFO] received Windows console close event; shutting log-core down
[09/02/24 11:42:21] [INFO] received Windows console close event; shutting log-core down
[09/02/24 11:42:46] [INFO] received Windows console close event; shutting log-core down
[09/02/24 11:56:44] [INFO] received Windows console close event; shutting log-core down
[09/02/24 12:10:45] [INFO] received Windows console close event; shutting log-core down
[09/02/24 12:12:31] [INFO] received Windows console close event; shutting log-core down
[09/02/24 12:26:49] [INFO] received Windows console close event; shutting log-core down
[09/02/24 12:28:09] [INFO] received Windows console close event; shutting log-core down
[09/02/24 12:55:22] [INFO] received Windows console close event; shutting log-core down
[09/02/24 13:20:28] [INFO] received Windows console close event; shutting log-core down
[09/02/24 13:27:23] [INFO] received Windows console close event; shutting log-core down
[09/02/24 13:33:15] [INFO] received Windows console close event; shutting log-core down
[09/02/24 13:52:45] [INFO] received Windows console close event; shutting log-core down
[09/02/24 14:25:51] [INFO] received Windows console close event; shutting log-core down
[09/03/24 14:47:05] [INFO] received Windows console close event; shutting log-core down
[09/03/24 14:47:18] [INFO] received Windows console close event; shutting log-core down
[09/03/24 14:47:39] [INFO] received Windows console close event; shutting log-core down
[09/03/24 14:51:31] [INFO] received Windows console close event; shutting log-core down
[09/03/24 22:04:58] [INFO] received Windows console close event; shutting log-core down
[09/04/24 14:09:48] [INFO] received Windows console close event; shutting log-core down
[11/15/25 08:45:30] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:37:24] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:40:50] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:43:25] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:48:50] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:50:18] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:52:16] [INFO] received Windows console close event; shutting log-core down
[11/16/25 02:57:39] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:02:50] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:06:32] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:11:03] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:13:01] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:18:03] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:21:30] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:25:22] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:25:53] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:32:57] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:32:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 03:32:57] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 03:43:05] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:50:15] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:53:39] [INFO] received Windows console close event; shutting log-core down
[11/16/25 03:59:16] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:03:34] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:13:47] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:23:35] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:25:02] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 04:35:48] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:40:38] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:42:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 04:55:25] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:56:18] [INFO] received Windows console close event; shutting log-core down
[11/16/25 04:59:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 05:20:41] [INFO] received Windows console close event; shutting log-core down
[11/16/25 05:38:59] [INFO] received Windows console close event; shutting log-core down
[11/16/25 05:40:28] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 05:49:25] [INFO] received Windows console close event; shutting log-core down
[11/16/25 05:51:11] [INFO] received Windows console close event; shutting log-core down
[11/16/25 06:13:13] [INFO] received Windows console close event; shutting log-core down
[11/16/25 07:49:12] [INFO] received Windows console close event; shutting log-core down
[11/16/25 14:39:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 15:27:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/16/25 16:38:22] [INFO] received Windows console close event; shutting log-core down
[11/16/25 18:41:12] [INFO] received Windows console close event; shutting log-core down
[11/16/25 19:05:06] [INFO] received Windows console close event; shutting log-core down
[11/16/25 20:05:06] [INFO] received Windows console close event; shutting log-core down
[11/17/25 17:23:49] [INFO] received Windows console close event; shutting log-core down
